category,condition,item,ref_f0_mean,synth_f0_mean,ref_f0_std,synth_f0_std,ref_f0_range,synth_f0_range,ref_dur,synth_dur
emotion,joy,ad01_0000,219.76928458973316,211.53815005097758,39.63155627447011,43.48295439099783,174.24884905971092,178.20475506045076,1.7335147392290249,1.8459863945578232
emotion,neutral,ad01_0000,105.61753235965115,106.88939583680752,35.3077740011098,22.929619962602814,213.95924062405703,110.22232696485055,1.8200226757369615,1.7763265306122449
emotion,sadness,ad01_0000,126.16679527109393,126.85780321169408,12.596804258173169,13.905590560598926,57.69209900082083,91.02569771600103,1.789501133786848,1.8575963718820863
emotion,anger,ad01_0001,176.39334026412365,176.37997886250423,41.35326517736447,18.815067065024344,303.80388698471893,89.01645943129202,2.25,1.799546485260771
emotion,fear,ad01_0001,169.2731738167986,168.8528946949719,19.96735407241682,15.790906907571893,92.81902104055999,61.66312547239275,1.693015873015873,1.6486167800453515
emotion,joy,ad01_0001,240.7168326143141,242.18608272231734,50.30781697238177,49.5153262014364,235.1098311218011,244.76419118606225,1.6555102040816327,1.6137868480725623
emotion,neutral,ad01_0001,100.38998612175047,180.1883659677275,10.838858260416494,112.86011359134676,44.01836806040761,360.34290724048356,1.7460090702947846,1.7531065759637188
emotion,sadness,ad01_0001,148.22243518468434,130.17779019916858,85.70847945865769,12.020592264405733,389.582550829047,49.5047286327049,1.8990022675736962,1.7531065759637188
emotion,anger,ad01_0002,187.44981330942306,194.15015556820387,44.798798046232676,28.986971035097415,164.5541943907889,113.29264877796231,2.2553514739229024,1.7298866213151927
emotion,fear,ad01_0002,174.38099009860576,169.05893260859492,22.25330709281903,16.95926557811661,118.6711454770315,76.86723037026898,1.9375056689342403,1.4396371882086167
emotion,joy,ad01_0002,233.15136106521774,241.3828191337744,79.8756158246248,71.4429878683532,285.40519205143335,291.22749141055175,1.75,1.5441269841269842
emotion,neutral,ad01_0002,97.45422840634056,111.23000014390229,13.370278107869801,29.123741024736958,58.248194717916846,126.13087418557403,1.9077551020408163,1.474467120181406
emotion,sadness,ad01_0002,123.0527894663412,118.03865229935752,14.481431902896837,15.640573516688656,63.63578429794171,63.50528034431292,2.0862131519274376,1.5441269841269842
emotion,anger,ad01_0003,173.2217184778502,173.75684105110656,30.92326920253909,26.374743455570208,157.30439047209705,146.10991075757457,1.942517006802721,1.4164172335600906
emotion,fear,ad01_0003,142.27525862623943,152.53242524473174,14.092912275345375,50.25570790246166,49.64041805507523,256.73778306275705,1.7115192743764172,1.4048072562358276
emotion,joy,ad01_0003,199.6694849650028,187.8077931570664,30.246841739051472,34.216465572018436,114.28924374027815,155.82024434154744,1.8755328798185942,1.5209070294784581
emotion,neutral,ad01_0003,102.08549811353414,129.2966046700901,10.744825577414627,38.99384825304875,44.3100995437067,138.45549803706604,1.6905215419501134,1.3815873015873017
emotion,sadness,ad01_0003,117.36782030183787,131.82555784738597,9.332987100739798,60.145644290930775,37.00446433131104,292.54717590240665,1.789501133786848,1.5905668934240362
emotion,anger,ad01_0004,214.79919032306947,194.10321395724316,89.14845166639383,32.79882116674642,390.21588538783834,129.42768486788177,1.3970068027210885,1.18421768707483
emotion,fear,ad01_0004,160.49449105452658,154.0716796994492,33.9818370429733,28.81394072001864,113.32048029100629,104.08662038866682,1.2230158730158731,1.0565079365079366
emotion,joy,ad01_0004,223.49720429950264,217.84714144501214,71.72671127392054,51.38655004918271,234.51544941470067,201.58421709288135,1.299501133786848,1.1377777777777778
emotion,neutral,ad01_0004,106.60031075410184,119.42679264786453,12.12420565533447,25.553839595970164,45.76270741219862,106.90410615433159,1.2370068027210885,1.0565079365079366
emotion,sadness,ad01_0004,140.35096171646654,146.95178837915623,21.470912238650516,18.874733429142218,82.49203384832822,78.7913564046299,1.3200226757369615,1.172607709750567
topical_emphasis,beginning,ad00_0100,251.84230679989656,234.86963112705268,57.35521792464969,55.8601070401039,267.87058178582527,264.0286251700136,2.9393197278911565,2.2755555555555556
topical_emphasis,middle,ad00_0100,270.2299488614233,250.85094851555004,44.90619280285009,51.034800419651674,158.02117648483727,222.62133136596714,3.143968253968254,2.3568253968253967
topical_emphasis,end,ad00_0100,253.91582629630898,244.63609232803856,40.142882422894594,55.03308326515668,148.62945801409634,231.14700296412036,3.51437641723356,2.5658049886621317
topical_emphasis,beginning,ad00_0101,242.99632416957238,239.2091130321628,51.124006025867104,59.602255910848925,162.73086104405843,267.2085171539587,3.078004535147392,2.786394557823129
topical_emphasis,middle,ad00_0101,237.9015436170879,228.88290372553914,40.34618530625633,31.338511137383932,226.80052753534926,188.0626523647378,2.719501133786848,2.426485260770975
topical_emphasis,end,ad00_0101,241.30301949044818,246.46026129016528,42.61223633488177,38.161486702682815,146.9084842720765,249.92573581869715,2.861519274376417,2.5193650793650795
topical_emphasis,beginning,ad00_0102,234.46382918126187,219.44553163198046,57.04627110475124,52.18793882104318,182.16977196936858,266.60861930284136,2.2815192743764174,2.1130158730158732
topical_emphasis,middle,ad00_0102,245.54191129630445,225.02631637181685,39.892947267435154,40.39234519951038,134.4571487302173,131.8373916562382,2.46,2.461315192743764
topical_emphasis,end,ad00_0102,239.30531277434685,231.6319882450185,38.662667641411595,46.824072719434746,135.68255480534512,229.08076303081867,2.8705215419501133,2.124625850340136
topical_emphasis,beginning,ad00_0103,245.90022293226406,233.65337415465171,64.50941586266053,63.75663081264608,327.9883632072904,351.3663753552616,3.039002267573696,2.75156462585034
topical_emphasis,middle,ad00_0103,240.41546161061083,223.2360188485861,39.68787992688565,47.0127372786608,128.8933961188559,222.6971992400152,2.9845124716553286,2.5309750566893423
topical_emphasis,end,ad00_0103,262.94003748281574,257.66374135750226,46.820893352953924,48.757166793170185,175.00722390622067,249.8400285148949,3.261020408163265,2.728344671201814
topical_emphasis,beginning,ad00_0104,244.03633395364835,230.93360990215882,75.27405642488229,54.083900385117076,287.64439045430913,212.24575138579655,2.7450113378684806,2.2639455782312927
topical_emphasis,middle,ad00_0104,268.8403300061803,261.9441093128978,52.102013304802036,50.12723007791229,170.41646416564717,156.05266275167466,2.3670068027210887,2.0317460317460316
topical_emphasis,end,ad00_0104,263.8573009772497,262.4041467253958,44.39329695396223,36.95165828190476,184.6648172912332,141.49423756899856,2.4865079365079366,2.124625850340136
topical_emphasis,beginning,ad01_0100,103.1659211920356,119.36047624604547,19.09907180821428,77.5826630508409,71.66850715787143,396.8519035530179,2.0940136054421767,2.0317460317460316
topical_emphasis,middle,ad01_0100,115.55864977275138,106.62897454302144,46.31415940842199,24.014843101903242,220.5774006839751,103.07162505122756,2.2975056689342406,2.078185941043084
topical_emphasis,end,ad01_0100,105.99760019484587,118.10826238503402,14.816315709132255,36.453706761508954,52.656697429518786,142.22279828408557,2.383514739229025,2.089795918367347
topical_emphasis,beginning,ad01_0101,101.1981750001384,132.7582400950633,21.849992757644387,43.58367996435801,105.382021853366,146.17312149639696,2.699501133786848,2.449705215419501
topical_emphasis,middle,ad01_0101,118.55297052723617,124.37108536224227,44.83013394332505,29.599951306690034,256.4604722665965,122.19034508316653,2.6070068027210884,2.403265306122449
topical_emphasis,end,ad01_0101,106.68588879314773,122.60643016097228,18.545469858462038,26.64347467889426,89.53217705008025,127.73249228376571,2.489501133786848,2.2407256235827666
topical_emphasis,beginning,ad01_0102,106.28574358603812,125.03616398616377,21.20576105463715,28.393610543364975,74.71691217297855,115.76604552578556,2.182517006802721,2.0317460317460316
topical_emphasis,middle,ad01_0102,106.01751365860075,116.86434785702275,21.05286563550812,17.147866127534297,77.65180079486312,91.16794935511608,2.362517006802721,2.066575963718821
topical_emphasis,end,ad01_0102,113.02903020445136,138.83885873003334,30.685807758773798,71.73083898467927,178.1950162165678,307.0522929163599,2.2790022675736963,2.020136054421769
topical_emphasis,beginning,ad01_0103,104.86315177297526,143.19348703813301,21.157863433698974,79.24251173128513,79.88891574930662,351.10015913922575,2.729501133786848,3.076643990929705
topical_emphasis,middle,ad01_0103,113.60772388736657,111.75508374613133,28.147054778110395,20.873969408940376,100.82297625131142,79.37175026362122,2.5855102040816327,2.3568253968253967
topical_emphasis,end,ad01_0103,105.70127560946928,122.47697434394414,17.949864300282073,60.427309463148354,61.45990684324401,314.53458408882113,2.408004535147392,2.2407256235827666
topical_emphasis,beginning,ad01_0104,104.84902632998414,109.94621771680615,24.046223194224584,24.729555041657232,80.90965287801278,83.88485215643469,2.422517006802721,2.0085260770975055
topical_emphasis,middle,ad01_0104,116.48441182005998,135.81367327064487,68.49870999292085,92.74817660168274,423.0594845907243,389.36846979233866,2.5710204081632653,2.2291156462585033
topical_emphasis,end,ad01_0104,130.80809373241766,160.3161756251247,78.78812698518168,111.22159508081106,421.9290046291112,404.6868811874597,2.5160090702947846,2.124625850340136
propositional_attitude,incredulity,ad00_0200,344.2138865292926,340.41568366097175,91.72950487343833,96.28201570301265,303.7363406232576,413.3412793963207,2.3085034013605443,2.066575963718821
